query,answer
"A 53-year-old man with acute severe headache, confusion, fever, hyperreflexia, MRI showing asymmetrical bitemporal hyperintensities, CSF lymphocytic pleocytosis with mild RBCs and normal glucose. Which pathogen is most likely?",Herpes simplex virus
"45F, immigrated, disrupted vision (blindness risk), itchy bumps, black hyperpigmented nodules, lymphadenopathy; black fly transmission. Most appropriate pharmacotherapy?",B. Ivermectin
"A 10-year-old boy is brought to the physician with painful and enlarged lymph nodes in his right axilla that was noticed 5 days ago and has slowly grown bigger. He has had weakness, sweating, and poor appetite during this time. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. He does not take any medication. There are no similar cases in the family. On physical exam, his temperature is 38.2°C (100.8°F), the pulse is 89/min, the respiratory rate is 13/min, and the blood pressure is 110/60 mm Hg. In his right axilla, there are multiple tender, flocculent, and enlarged lymph nodes with overlying erythematous skin. There is a separate lesion on the child's forearm (see image). The lesion is painless to palpation and appears inflamed. Additional history should be obtained regarding which of the following?",A. Contact with pets
Which cancer is the patient worried about?,Cervical carcinoma
"15-month-old with simple febrile seizure, fever from viral URI. Most appropriate drug mechanism.",B
Which of the following findings is most likely to be present on colonoscopy of this patient?,C
"56-year-old woman with acute slurred speech, left facial droop, left facial numbness, risk factors, carotid bruit, normal CT, symptoms resolve. Which diagnosis is most likely?",C. Transient ischemic attack
"62-year-old woman with sudden vertigo, left facial droop, right body sensory loss, left Horner, ataxia, dysmetria, taste loss. Where is the vascular occlusion?",B. Anterior inferior cerebellar artery (AICA)
Most appropriate next step in management for nondisplaced left 4th and 5th rib fractures in a hemodynamically stable patient with mild shortness of breath and normal oxygen saturation?,C. Adequate analgesia and conservative management
"A 38-year-old bricklayer with 3-week right knee pain worsening with kneeling. Exam: erythema, fluctuant swelling, tenderness over the kneecap. Most likely affected structure?",D. Prepatellar bursa
"A previously healthy 15-year-old girl is brought to the emergency department 24 hours after the onset of a severe headache. She returned from a 1-week camping trip 3 days ago; she went spelunking and swimming in a freshwater lake during the trip. She is agitated, uncooperative, and oriented only to person. Her temperature is 38.9°C (102°F), pulse is 112/min, respirations are 20/min, and blood pressure is 100/68 mm Hg. There are several crusted insect bites on her extremities. Neurologic examination shows diffuse hyperreflexia and an extensor plantar response bilaterally. Her neck is supple without lymphadenopathy. An MRI of the brain shows asymmetrical, bitemporal hyperintensities. A lumbar puncture is performed. Cerebrospinal fluid analysis shows:
Opening pressure 150 mm H2O
Glucose 58 mg/dL
Protein 108 mg/dL
Leukocyte count 150/mm3
Segmented neutrophils 15%
Lymphocytes 85%
Erythrocyte count 25/mm3
Which of the following is the most likely causal pathogen?",D. Herpes simplex virus
"10‑day‑old male newborn with Down syndrome, polyhydramnios, nonbilious vomiting, double‑bubble on abdominal X‑ray; most likely cause is a defect in which embryologic process?",A
"38F with chronic anxiety in social/work situations, difficulty controlling, insomnia, irritability, muscle tension, functional impairment; dx GAD; tx first-line SSRI",B
"A 26-year-old woman presents with fever, chills, abdominal pain, vaginal discharge, lower abdominal tenderness, uterine inflammation, and a retained intrauterine device. The most likely cause of her symptoms should be treated with an antibiotic with which mechanism of action?",A. Cell wall synthesis inhibitor
"28‑year‑old man with 4‑week headache, upward gaze palsy, convergence‑retraction nystagmus, papilledema, CT shows epithalamic mass causing hydrocephalus. What associated finding?",B
"34F, acute painful L vision loss, inability to adduct L eye on right gaze (L INO), recurrent numbness/tingling (prior sensory relapses). Likely RRMS acute relapse (optic neuritis + INO).",D. Methylprednisolone
A 41-year-old woman with acute pancreatitis (clinical + lab + imaging) and HIV diagnosed 6 months ago on unknown meds—most likely etiology from options.,A
"24M, violent assault, rotary nystagmus, fever, tachycardia, tachypnea. Which drug on tox screen?",D. Phencyclidine hydrochloride (PCP)
"A 28-year-old woman comes to the physician because of a 1-year history of intermittent buzzing in both her ears. She says she sometimes has episodes of mild dizziness which resolve spontaneously. She has a 15-year history of type 1 diabetes mellitus and episodes of low back pain. She does not smoke or drink alcohol. Current medications include insulin and aspirin. She works as a trombonist for a symphony orchestra. Her vital signs are within normal limits. On otoscopic examination, the tympanic membrane appears normal. Bone conduction is greater than air conduction in both ears. Weber test shows no lateralization. Which of the following is the most likely diagnosis?",C. Otosclerosis
A 73-year-old man ... which of the following is the most appropriate response on the part of the physician?,D
"77M, subacute incoherent speech, confusion, urinary incontinence, short-step gait. Triad: Wet (incontinence), Wobbly (gait), Wacky (cognition) → Normal Pressure Hydrocephalus (NPH). Key imaging: Dilated ventricles (ventriculomegaly) without severe cortical atrophy.",B
"49F with SLE, fever, confusion, scleral icterus, ecchymoses, anemia, thrombocytopenia, schistocytes, normal PT/PTT, negative FSP, indirect bilirubin, hematuria/proteinuria. Most likely diagnosis?",C. Thrombotic thrombocytopenic purpura
"23-year-old man with painless submandibular swelling 2 months after molar extraction, draining foul-smelling fluid; culture shows catalase-negative gram-positive filamentous rods that do not retain carbol fuchsin. Identify the most likely causal pathogen.",B. Actinomyces israelii
"20-month-old boy with recurrent diarrhea, URI, failure to thrive, lymphopenia, diagnosed with SCID. Most common association (cause) of SCID?",A
,B. Hypocalcemia
,B. Mirtazapine
"68‑year‑old man with 1‑year progressive forgetfulness and confusion, MMSE 20/30, normal labs and brain CT. Which diagnosis is most likely?",Alzheimer’s dementia
"6-year-old girl with signs of precocious puberty, positive GnRH stimulation test; next best step in management?",B. MRI of the brain
Which of the following structures is involved in the pathway responsible for this patient's nausea?,A. Medulla oblongata
A 52-year-old tow truck driver with acute monoarticular arthritis and negatively birefringent crystals on arthrocentesis—best choice for treating his pain?,C. Administer indomethacin
"A 26-year-old woman ingested 25x500mg acetaminophen 1 hour prior to ED arrival. Stable vitals, normal labs. Most appropriate next step?",A. Administer activated charcoal
What is the best treatment strategy for this patient?,B. Trimethoprim-sulfamethoxazole + steroids
"63-year-old man with diabetes, fatigue, microcytic anemia (low Hb, low MCV). Labs: High ferritin (400 ng/mL), low TIBC (200 mcg/dL), low serum iron (50 mcg/dL). Which cause of abnormal labs?",D
A 40-year-old woman with a 0.9‑cm right thyroid nodule showing microcalcifications and irregular margins on ultrasound. What is the most appropriate next diagnostic step?,C. Thyroid-stimulating hormone level
"15M, 4mo episodic 'drunk' (slurred speech, 15min), irritability post-episode, decreased appetite, red eyes, school decline, perioral eczematous rash, dysdiadochokinesia. Cause?",A. Inhalants
Which factor puts this 26‑week pregnant woman with PPROM at highest risk of preterm delivery?,D
"A 37-year-old woman, gravida 3, para 3, gave birth 8 months ago and wishes to start contraception. Prior to her most recent pregnancy, she used a combined estrogen-progestin pill. Which of the following aspects of her history would be a contraindication for restarting an oral contraceptive pill?",A. She smokes 1 pack of cigarettes daily
"A 12-year-old female with no past medical history is found to have an abnormal cardiovascular exam during routine physical examination at her pediatrician’s office. All other components of her physical exam are normal. During evaluation for potential causes for her abnormal exam, an echocardiogram with doppler is done that shows flow between the atria. Which of the following would have most likely been auscultated as a result of the pathology on her echocardiogram?",D. Splitting of S2 in inspiration and expiration
"A 52-year-old woman with a 3-week history of right knee pain worse with activity and end of day, limited range of motion, crepitus, no signs of inflammation, normal ESR, BMI 36, with psoriasis and family history of rheumatoid arthritis. An x-ray (not shown) suggests degenerative changes. Which of the following is the most appropriate next step in management?",Weight loss program
Which process shows microscopic findings of increased cell size with increased cytoplasm but uniform nuclei among the given options?,A. Uterine myometrium in pregnancy
"Which of the following changes would be seen in a cell that was affected by the heat stable toxin produced by a lactose-fermenting, gram-negative organism causing severe watery diarrhea?",D. Increased cyclic guanosine monophosphate
"74F, HTN/PAD, 2h severe periumbilical pain, no peritoneal signs, elevated lactate (7.0), mild amylase elevation. Next diagnostic step.",C. CT angiography
A 42-year-old man ... Which of the following is the most likely explanation for this patient's symptoms?,Somatic symptom disorder
A 64-year-old male with pulmonary embolism on unfractionated heparin develops thrombocytopenia and epistaxis four days later. What is the pathogenesis?,B. Autoantibodies directed against platelet factor 4
"An autopsy is performed on a 39-year-old man 5 days after he was found pulseless at his apartment by his neighbor. Examination of the brain shows liquefactive necrosis in the distribution of the right middle cerebral artery with surrounding edema. Immunophenotyping of a sample of the affected brain tissue shows numerous cells that express CD40 on their surface. On further histopathological evaluation, the morphology of these cells is not readily discernible with Nissl stain. These histological findings are most consistent with which of the following cell types?
Answer Choices:
A. Radial glial cells
B. Microglia
C. Astrocytes
D. Oligodendrocytes",B. Microglia
"3-year-old boy with easy bruising, hyperextensible skin, hypermobile joints, TMJ tenderness; classic Ehlers-Danlos features. Identify collagen defect.",C
"14-year-old boy with tall stature, lens dislocation, early diastolic murmur, wide pulse pressure. Further evaluation most likely to show which of the following?",D. Water hammer pulse
Which strategy is most likely to reduce inappropriate antibiotic prescribing for viral acute respiratory tract infections in primary care?,B. Local peer comparison
"What would this patient’s response to a fasting-state glucagon stimulation test most likely be, and what enzyme defect does he have?",D
"A 4-year-old with fever, severe lower extremity pain, difficulty eating, flesh-colored tender papules (trunk/knees/palms/soles), and 2-mm reddish hard palate macules. Identify the causal organism.",D. Coxsackie A virus
"80M w/ ESRD, AS, anemia, melena, hypotension, orthostasis, microcytic anemia. Colonoscopy done. Most likely cause of current condition (anemia from GI bleeding).",A. Angiodysplasia
"17-year-old female with primary amenorrhea, short stature (3rd percentile height). Buccal smear: single Barr body (1 X inactivation body → 2 X chromosomes in some cells). Neutrophil karyotype: 45 chromosomes (indicates monosomy X or mosaic 45,X/46,XX). Clinical features (primary amenorrhea, short stature) align with Turner syndrome (45,X), but presence of Barr bodies (2 Xs in some cells) indicates mosaicism (45,X/46,XX). Mosaicism arises from postzygotic mitotic error (mitotic nondisjunction in the zygote, leading to loss of an X chromosome in a somatic cell line).",B
"70-year-old chronic smoker with left-sided weakness, suspected right MCA branch occlusion, HbA1c 11%, which blood lipid component is most important contributing factor?",B. Oxidized low-density lipoprotein (ox-LDL)
"A 69-year-old man with coronary artery disease, recent stent, admitted for pneumonia, on aspirin and clopidogrel, limited mobility due to oxygen dependence. What DVT prophylaxis should be provided while hospitalized?",D. Low molecular weight heparin
"19F, unintentional weight loss, polydipsia, polyphagia, polyuria → suspect which finding?",B
"84-year-old woman with Alzheimer's, agitation, sundowning, family wants home care. Recommendation?",C. Adhere to a regular sleep schedule
A 24‑year‑old man received 1500 mL isotonic saline over 12 h instead of the prescribed 900 mL. What happens to intracellular fluid (ICF) volume and body osmolality?,"D. No change in ICF volume, no change in body osmolality"
"A 55-year-old man with edema, proteinuria, monoclonal light chains, no bone lesions: most likely clinical course without treatment?",A
A 22-year-old G1P1 woman ... Which of the following is the most effective emergency contraception?,A. Copper intrauterine device
"7-year-old boy with difficulty swallowing, diarrhea, itching, weakness, episodic headaches, sweating, palpitations, fear ending with micturition; mucosal nodules on lips/eyelids; marfanoid habitus; painless thyroid lump and cervical lymphadenopathy; most probable embryonic origin of cells in the lump?",D. Neural crest cells
"22-year-old soldier with stab wound left 4th intercostal space, bubbling blood, hyperresonance, decreased breath sounds. Most appropriate next step?",A. Partially occlusive dressing
A 26-year-old G-1-P-0 at 16 weeks gestation with XY genotype but no male external genitalia. Which initiates male development?,D
"A 25-year-old man with recent-onset manic behavior, insomnia, risky spending, and a history of major depressive disorder and systemic lupus erythematosus, presents with elevated creatinine and proteinuria. Which long-term treatment would most likely benefit him?",Valproate
"Given first-order kinetics, initial serum concentration 60 U/L, after 3 h concentration 30 U/L, what is concentration after 9 h?",7.5 U/L
"A 7-year-old boy with sore throat, fever, malaise, exudative tonsillitis, splenomegaly, mild hepatomegaly, and blood smear showing large lymphocytes with blue-gray cytoplasm, irregular nuclei, dark chromatin, inconspicuous nucleoli.",A. Infectious mononucleosis
A 26-year-old woman with volar lunate dislocation after a fall. Which finding is most likely?,A
"15-year-old male with ADHD, mild improvement on low-dose methylphenidate but significant appetite suppression and weight loss; mother wants to discontinue. Which is the next drug of choice?",C. Dextroamphetamine
"A 43-year-old woman with chronic lower abdominal pain, alternating bowel habits, no alarm features, family history of colon cancer, and failed gluten-free diet. What is the next best step in management?",C. High fiber diet
28-year-old gravida 2 para 1 at 28 weeks gestation with uncomplicated cystitis caused by Escherichia coli: select the best pharmacotherapy from the listed options.,B. Nitrofurantoin
"A 65-year-old man with 6-month history of muscle weakness, low energy, intermittent nosebleeds, weight loss, progressive hearing and vision problems, neuropathy, hepatomegaly, lymphadenopathy, anemia, thrombocytopenia, elevated ESR, and monoclonal IgM spike on SPEP. What is the most likely diagnosis?",B. Waldenstrom macroglobulinemia
"A 56-year-old man with hypertension has BP 165/92 mmHg (left) and 162/90 mmHg (right). The physician adds a drug that increases serum renin, angiotensin I, and angiotensin II, decreases aldosterone, and does not affect bradykinin. Which drug was most likely added?",Candesartan
"A 71-year-old man is brought to the emergency department because of severe, progressive left leg pain and tingling for 8 hours. The symptoms began while he was watching television. For several months, the patient has noticed calf cramping when going for long walks, as well as occasional foot tingling and numbness, but did not seek medical attention. He has no history of recent injuries. He has poorly-controlled hypertension, hyperlipidemia, type 2 diabetes mellitus, and osteoarthritis. He smoked one pack of cigarettes daily for 35 years but quit 15 years ago. He drinks three beers every night. Current medications include lisinopril, metoprolol succinate, atorvastatin, metformin, and ibuprofen. He appears to be in severe pain and is clutching his left leg. His temperature is 37.4°C (99.3°F), pulse is 110/min, respirations are 18/min, and blood pressure is 163/94 mm Hg. The lungs are clear to auscultation. There is a harsh II/VI systolic ejection murmur best heard at the right upper sternal border. The abdomen is soft and nontender. The left leg is cool to the touch with decreased popliteal, posterior tibial, and dorsalis pedis pulses. There is 5/5 strength on left hip, knee, and ankle testing. The left hip, knee, and ankle show no gross effusion, erythema, or tenderness to palpation. The remainder of the examination shows no abnormalities. Which of the following is most likely to confirm the diagnosis?",B. Digital subtraction angiography
"Which of the following is the most likely causal organism in a 6‑week‑old infant with fever, cough, wheezing, and retractions?",Respiratory syncytial virus
"24-year-old male with symmetric erythematous itchy groin rash, hyperpigmented central areas, scaling, no penile/scrotal involvement, Wood's lamp negative for erythrasma, working diagnosis fungal infection. Which topical agent?",B. Terbinafine
"71F, 35 pack-years smoking, 4-month cough/weight loss, right lung wheezing, hypercalcemia (12.5 mg/dL). Most likely diagnosis.",D. Squamous cell lung carcinoma
27-year-old primigravida at 16 weeks with elevated MSAFP (2.9 MoM) on triple screen; next step in management?,C. Perform ultrasound examination
"12-year-old boy with migratory joint pain, intermittent fever, weight loss, pale, petechiae/bruises, hepatosplenomegaly, mesenteric lymphadenopathy, severe anemia, thrombocytopenia, leukocytosis.",A
"56-year-old female with acute right eye pain, headache, halos, mid-dilated pupil, firm eye, IOP 36 mmHg. Most appropriate emergency treatment?",Timolol ophthalmic solution
"A 2-year-old female with abdominal pain undergoes laparoscopic surgery. An outpouching of tissue is excised from the ileum and sent to the laboratory for evaluation. The pathologist notes inflammation and the presence of mucosa, submucosa, and muscle in the walls of the specimen. Which of the following is the most likely diagnosis?",Meckel's diverticulum
"A previously healthy 3-week-old infant is brought to the emergency department 6 hours after the onset of fever and persistent irritability. He had been well until 2 days ago, when he started feeding poorly and sleeping more than usual. He appears lethargic and irritable when roused for examination. His temperature is 39°C (102°F). He cries when he is picked up and when his neck is flexed. The remainder of the physical and neurological examinations show no other abnormalities. His serum glucose is 115 mg/mL. His total serum bilirubin is 6.3 mg/dL. Cerebrospinal fluid analysis shows:
Pressure 255 mm H2O
Erythrocytes 2/mm3
Leukocyte count 710/mm3
Segmented neutrophils 95%
Lymphocytes 5%
Protein 86 mg/dL
Glucose 22 mg/dL
Gram stain results of the cerebrospinal fluid are pending. Which of the following is the most appropriate initial antibiotic regimen for this patient?","Ampicillin, gentamicin, and cefotaxime"
A 33-year-old woman with severe mitral regurgitation and EF 25% presents with heart failure. Treatment should focus on which of the following?,A
"55M, recurrent pneumonia, smoker, RLL biopsy: clustered cuboidal foamy cells—function?",A. Lecithin production
"A newborn boy with microcephaly, prominent occiput, narrow bifrontal diameter, small jaw, short palpebral fissures, narrow nose with hypoplastic ala, clenched fists with index overlapping third and fifth overlapping fourth, hypoplastic nails, rocker-bottom feet, low birth weight. Which statement best describes his condition?",B
A 3-year-old boy ... underlying cause?,Mutation in fibrillin-1 gene
"62-year-old man with multiple red spots on trunk, some increasing in size, bleeds when scratched; what is most likely diagnosis?",Cherry angioma
"A 56-year-old man with chronic kidney failure is brought to the emergency department after passing out during dinner. He is alert, short of breath, and has chest palpitations. EKG shows an irregular rhythm with QT amplitudes that vary in height over time (torsades de pointes). He has uncontrolled muscle contractions and a negative Chvostek sign. Over-repletion of the serum abnormality in this case may lead to which of the following? Answer Choices: A. Bradycardia, B. Diffuse calcifications, C. Kidney stones, D. Seizures.",B. Diffuse calcifications
,D. Alzheimer disease
"A 25-year-old man presents with sudden confusion, nausea, limb pain, pallor, and severe itching with scratches. Symptoms are attributed to his employment. Identify the most likely job from: diving instructor, farmer, fireman, shipyard worker.",A. Diving instructor
"24M GSW chest, hemothorax, chest tube output 700 cc + 300 cc/hr x5h, residual hemothorax, next step?",D. Open thoracotomy
"A 5-year-old has 10-20 daily episodes of unresponsiveness, staring, increased blinking lasting 30-60 seconds. EEG shows 3 Hz spike and wave discharge. What is the diagnosis?",D. Absence seizure
"19-year-old woman with unilateral throbbing headache, photophobia, and non-bilious vomiting; appropriate therapy for vomiting?",C. Chlorpromazine
"A 55-year-old man with chronic cough, dyspnea, smoker, barrel chest, wheezing. Diagnosis COPD. After analyzing all clinical information and diagnostic workup, the physician differentiates between emphysema and chronic bronchitis based on a single clue. Which of the following is the most likely clue that helped the physician in making the differential diagnosis?",D
"A 45-year-old woman repetitively visits the general surgery clinic worried that her inguinal hernia is incarcerated. 2 months ago, she was seen in the emergency department where she presented with a left lower abdominal swelling. The mass was easily reduced and the patient was referred to the general surgery clinic for elective surgical repair. Because her condition was deemed not urgent, she was informed that she was down on the surgical waiting list. Despite this, she continues to visit the clinic and the ED worried that her bowels are ‘trapped and dying.’ Each time she is reassured and any protrusion present is quickly reduced. She has previously frequently visited her primary care physician for complaints of abdominal pain and inconsistent bowel habits, but no etiology could be identified. She continues to intermittently have these symptoms and spends hours every day worrying about what may be going on. She has no other significant past medical history. Which of the following is the most appropriate diagnosis?",Somatic symptom disorder
"62-year-old woman with obesity, diabetes, LDL 192 mg/dL, HDL 48 mg/dL, TG 138 mg/dL. Which potential side effect of the best therapy?",B. Hepatotoxicity
"A 67-year-old man with fatigue, 20‑lb weight loss, normocytic anemia (Hb 9 g/dL, Hct 29 %, MCV 90 µm³), and hypercalcemia (Ca²⁺ 11.8 mg/dL). Which diagnosis is most likely?",C. Malignancy
"19-year-old with persistent vomiting after alcohol use, now hematemesis and shock. Endoscopy shows longitudinal mucosal tear in distal esophagus. Diagnosis?",B. Mallory-Weiss tear
"24-year-old woman with progressive joint pain, weak radial and pedal pulses, erythematous nodules on legs, anemia, leukocytosis, thrombocytosis, elevated ESR/CRP. Most likely diagnosis?",Takayasu arteritis
"40F, 2mo inflammatory arthritis (morning stiffness, symmetric finger/wrist swelling/tenderness), elevated ESR/CRP, Anti-CCP+. Diagnosed with RA (meets 2010 ACR/EULAR criteria: Serology+ (3), Acute phase+ (1), Joints+ (2), Duration+ (1) = 7≥6). First-line DMARD for moderate-severe RA is methotrexate (anchors therapy, slows progression). NSAIDs (A) are symptomatic only. Hydroxychloroquine (B) is for mild disease or combo. Infliximab (C) is biologic for DMARD-refractory cases.",D. Methotrexate
A 19-year-old male soccer player undergoes an exercise tolerance test to measure his maximal oxygen uptake during exercise. Which of the following changes are most likely to occur during exercise? Answer Choices: A. Increased pulmonary vascular resistance B. Decreased physiologic dead space C. Decreased alveolar-arterial oxygen gradient D. Increased arterial partial pressure of oxygen,B. Decreased physiologic dead space
"A 32-year-old woman 3 weeks postpartum after complicated delivery presents with fatigue, cold intolerance, dry skin, bradycardia, and lactation difficulty. Which lab abnormality is expected?",A
A 6-year-old boy with eosinophil-associated asthma episodes; what eosinophil-released factor causes bronchial epithelial damage?,B. Major basic protein
"60-year-old male with intermittent SOB, palpitations, lightheadedness, history of CAD with LAD stent, rapid irregular pulse. Most likely cause?",A. Premature ventricular contractions
"42M, HIV+ (no HAART), oral cavity lesion (lower lip, floor of mouth, mandible invasion), biopsy: plasmablastic lymphoma (plasmablastic differentiation, VS38c+), which viral DNA?",A. EBV
"A 17-year-old boy with 2-year history of social withdrawal, preference for solitary activities, flattened affect, and indifference to others; no psychotic symptoms or antisocial behaviors.",B. Schizoid personality disorder
"A 63-year-old woman 2 days post uncomplicated total thyroidectomy presents with acute, progressive sharp/burning chest pain, nausea, and shortness of breath. She has a history of CAD, HTN, T1DM, MEN2A (risk for pheochromocytoma), and GERD. Exam is notable for anxiety, diaphoresis, minimal neck incision erythema, and diabetic neuropathy (distractor). The most life-threatening cause of acute chest pain is MI, and the next step to rule this out is ECG (for ischemic changes) and troponin (for myocardial injury). Other choices (GERD management, levothyroxine adjustment, infection workup) are not prioritized for acute chest pain without signs of those conditions.",A. Obtain an ECG and troponin T levels
"A previously healthy 13-year-old girl with low-grade fever, headache, nausea, sore throat, enlarged erythematous tonsils with exudates, palatal petechiae, and cervical lymphadenopathy. A throat culture grows an organism that withstands phagocytosis in fresh blood. Which virulence factor explains this finding?",D. M Protein
"A young researcher is studying the structure of class I and class II major histocompatibility complex (MHC) molecules. He understands that these molecules are proteins, but the structures of class I MHC molecules are different from those of class II. Although all these molecules consist of α and β chains, some of their domains are polymorphic, meaning they are different in different individuals. He calls them ‘P’ domains. The other domains are nonpolymorphic, which remain invariant in all individuals. He calls these domains ‘N’ domains. Which of the following are examples of ‘N’ domains?",D. α3 domain in class I molecules and β2 domain in class II molecules
Which of the following is a function of glucagon?,C. Production of vitamin K
"A 4-year-old boy with frequent falls, muscle pain, night blindness, low-fat diet for diarrhea, growth failure, proximal muscle weakness, ataxic gait, serum cholesterol 21 mg/dL, acanthocytes on blood smear. Most likely further finding?",B. Post-prandial lipid-laden enterocytes
"A 55-year-old man presents with fever, chills, fatigue, cough, sore throat, and breathlessness for the past 7 days. He describes the cough as productive and says he is fatigued all the time. He says he is a farmer with daily contact with rabbits, horses, sheep, pigeons, and chickens and reports cleaning the barn 3 days before his symptoms started. The patient denies any history of tick bites. Past medical history is irrelevant. His temperature is 39.4°C (103.0°F), pulse is 110/min, and respirations are 26/min. On physical examination, there are decreased breath sounds on the right side. A large tender node is palpable in the right axilla. A chest radiograph reveals multiple homogenous opacities in the lower lobe of the right lung and a right-sided pleural effusions. Gram staining of a sputum sample is negative for any organism. Serology tests are negative. Which of the following is the most likely causative organism for this patient’s condition?",Francisella tularensis
"A 38-year-old woman with episodic RUQ pain, nausea/vomiting, terminal ileum resection (Crohn's), gallstones (US), dilated CBD (10mm), elevated bilirubin/ALP/AST/ALT, no fever/leukocytosis.",C
"A 66-year-old woman with involuntary urine loss, sudden urge, triggers (water, cold), normal vitals, unremarkable physical exam, normal urinalysis. Best next step in management.",B. Bladder training
"A 5-year-old boy with impetigo (pustules, gold crusts, submandibular lymphadenopathy) and elevated anti-DNase B (group A strep marker) is at greatest risk for which complication?",C. Glomerulonephritis
Which type of bias may hamper the validity of the researchers’ conclusions in the described case‑control study?,B. Recall bias
"40-year-old man with headaches, visual disturbances, bitemporal hemianopsia, and a 16 mm intrasellar mass. Which further finding is most likely?",C. Erectile dysfunction
Which of the following statements is most accurate regarding this patient?,A. It is highly effective in the treatment of aspergillosis
"A 24-year-old man is referred to an endocrinologist for paroxysms of headaches associated with elevated blood pressure and palpitations. He is otherwise healthy, although he notes a family history of thyroid cancer. His physical examination is significant for the findings shown in Figures A, B, and C. His thyroid is normal in size, but there is a 2.5 cm nodule palpable in the right lobe. On further workup, it is found that he has elevated plasma-free metanephrines and a normal TSH. Fine-needle aspiration of the thyroid nodule stains positive for calcitonin. The endocrinologist suspects a genetic syndrome. What is the most likely inheritance pattern?",A. Autosomal dominant
Which of the following is the most appropriate therapy for this patient's condition?,Hemin
Metoprolol effect on serum renin levels,C
"A 4-year-old Caucasian male patient presents with recurrent infections. During examination of his CD4 T-cells, it is noticed that his T-cells lack CD40 ligand. Which type of immunoglobulin is likely to be present in excess? Answer Choices: A. IgE B. IgG C. IgM D. IgD",C. IgM
Infant with congenital rubella syndrome (positive Rubella IgM/IgG) and continuous murmur: expected cardiac defect on echo.,B
"22-year-old immigrant with sensorineural deafness, episodes of syncope and seizures; which ECG change most likely?",C. Prolonged QT interval
"6-year-old refugee with delayed growth, proximal muscle weakness, leg bowing, protruded abdomen, subcostal grooving, wrist image (likely metaphyseal changes). Identify the most likely cause.",D
"93-year-old woman with chronic lymphedema of right arm after mastectomy, purple plaques with ulceration for 1 month. Most likely diagnosis?",Lymphangiosarcoma
"A 29-year-old nulliparous woman is found upon transthoracic echocardiography to have a dilated aorta and mitral valve prolapse. The patient has a history of joint pain, and physical examination reveals pectus excavatum and stretch marks on the skin. She does not take any medications and has no history of past drug use. The patient’s findings are most likely associated with which of the following underlying diagnoses?",Marfan syndrome
A 45-year-old male presents with acute gouty arthritis. He is started on a new medication that decreases leukocyte migration and mitosis and causes nausea/vomiting. Which mechanism of action is characteristic?,A
"34F with fever, chills, odynophagia, recent methimazole use for Graves. Labs: WBC 3200 (ANC ~288, severe neutropenia), lymphocytosis (79%).",B. Discontinue methimazole
"19F, poorly controlled asthma, 3 hospitalizations, salmeterol + budesonide, psoriasis, start zileuton. Most immediate downstream effect?",A. Decreased production of leukotrienes
"6-year-old boy with acute intermittent umbilical pain radiating to RLQ, knee-drawing, nonbilious vomiting, prior episode 3 months ago, ultrasound shows concentric rings",B. Meckel diverticulum
"A lung mass of a 50 pack-year smoker is biopsied. If ADH levels were grossly increased, what would most likely be the histologic appearance of this mass?",B. Sheets of small round cells with hyperchromatic nuclei
"16yo male, congenital anemia, neonatal jaundice, recurrent painless jaundice, splenomegaly, Hb 10, peripheral smear basophilic stippling.",D
"40M with fatigue, sweating, leg itching x 2y; 48 pack-year smoking; exam: facial flushing, bluish lips, obesity (BMI 38); CBC: Hb 20, RBC 6.9M, WBC 13K, plt 540K; low ferritin/iron; next step?",D. Phlebotomy
"A 82-year-old woman with 2-year history of mild forgetfulness, still independent and functional, no red flags for dementia. Symptoms include occasional forgetfulness, mild cognitive slowing, but normal orientation, judgment, and daily functioning. No evidence of Alzheimer's, Lewy-body, or vascular dementia features.",A. Aging
"A 24-year-old woman with recurrent sinus infections, low IgA, IgG, and IgM with normal IgE, history of controlled asthma.",B. Common variable immunodeficiency
"A 30-year-old man presents to his primary care physician for a routine check-up. During the appointment, he remarks that he has started noticing some thinning and hair loss without other symptoms. The physician reassures him that he is likely experiencing male-pattern baldness and explains that the condition is largely inherited. Specifically he notes that there are multiple genes that are responsible for the condition so it is difficult to predict the timing and development of hair loss. What genetic principle is being illustrated by this scenario?",C. Polygenic inheritance
"67M with 3mo hesitancy/nocturia, symmetric nontender rubbery prostate, normal PSA – most likely cause of symptoms?",A
"56M, alcohol/HepC/cirrhosis, 4th/5th finger flexion, palm cords/ulcers → Dupuytren's contracture. First-line therapy?",D
"26-year-old man with burning throat after meals, health anxiety, IBS, constipation, school stress, girlfriend worry, guilt about grandfather's death, re-experiencing funeral, sleep disturbance, praying every 4 hours. Which diagnosis?",B. Generalized anxiety disorder
A 25-year-old sexually active male ... Which of the following medications prescribed acts on the gp41 subunit of the HIV envelope glycoprotein?,D. Enfuvirtide
Which of the following is the cause of difficulty sleeping for this patient?,B. Impaired gaseous exchange caused by pulmonary edema
"A 2860-g male newborn with bowing of legs, respiratory distress, hyperextensible skin/joints, rib fractures, and wormian bones on X-ray. What complication is increased risk?",D
